ticket_id,category,status,open_date,close_date,dept,resolution_days
TKT-002726,HR Technology,Closed,2025-10-28,2025-12-31,Sales,64
TKT-002524,Payroll,Closed,2025-01-15,2025-01-20,Engineering,5
TKT-001696,Payroll,Closed,2025-04-17,2025-05-06,Product,19
TKT-002713,Payroll,Closed,2025-01-01,2025-01-20,Engineering,19
TKT-001859,HR Technology,Closed,2025-05-29,2025-08-04,Data,67
TKT-001681,HR Technology,Closed,2025-03-23,2025-05-26,Engineering,64
TKT-002712,Learning & Development,Closed,2025-03-29,2025-06-11,Engineering,74
TKT-000540,Compensation,Closed,2025-12-22,2025-12-31,Executive,9
TKT-000924,HR Technology,Closed,2025-05-29,2025-06-22,Data,24
TKT-002297,Payroll,Closed,2025-03-27,2025-03-31,Sales,4
TKT-002099,HR Technology,Closed,2025-09-09,2025-10-06,Engineering,27
TKT-002636,Offboarding,Closed,2025-08-10,2025-08-22,Engineering,12
TKT-000983,Employee Relations,Closed,2025-06-10,2025-06-27,Data,17
TKT-001480,Policy & Benefits,Closed,2025-05-26,2025-05-30,Product,4
TKT-001897,Policy & Benefits,Closed,2025-06-10,2025-06-23,Sales,13
TKT-002746,HR Technology,Closed,2025-03-14,2025-03-28,Customer Success,14
TKT-002268,HR Technology,Closed,2025-02-07,2025-04-10,Engineering,62
TKT-002773,Onboarding,Closed,2025-12-23,2025-12-31,HR,8
TKT-000956,Policy & Benefits,Closed,2025-04-22,2025-04-27,Engineering,5
TKT-002212,Learning & Development,Closed,2025-10-12,2025-12-20,Engineering,69
TKT-002151,Compensation,Closed,2025-12-21,2025-12-31,Engineering,10
TKT-002131,Offboarding,Closed,2025-02-14,2025-03-07,Engineering,21
TKT-002042,Learning & Development,Closed,2025-07-04,2025-07-26,Customer Success,22
TKT-002739,HR Technology,Closed,2025-11-23,2025-12-31,Data,38
TKT-002498,Payroll,Closed,2025-01-28,2025-02-13,Engineering,16
TKT-002056,Payroll,Closed,2025-08-19,2025-10-02,Engineering,44
TKT-001532,Learning & Development,Closed,2025-07-30,2025-08-09,Sales,10
TKT-002731,Payroll,Closed,2025-06-29,2025-07-06,Marketing,7
TKT-002775,HR Technology,Closed,2025-03-15,2025-05-16,Engineering,62
TKT-002787,Offboarding,Closed,2025-05-14,2025-05-29,Executive,15
TKT-002438,Policy & Benefits,Closed,2025-04-01,2025-04-09,Engineering,8
TKT-002433,Compensation,Closed,2025-06-06,2025-06-28,Customer Success,22
TKT-002057,Compensation,Closed,2025-03-30,2025-04-16,Data,17
TKT-001817,Onboarding,Closed,2025-11-02,2025-11-09,Product,7
TKT-002758,HR Technology,Closed,2025-11-14,2025-12-31,Sales,47
TKT-002622,Payroll,Closed,2025-06-07,2025-07-04,Sales,27
TKT-001882,Employee Relations,Closed,2025-08-06,2025-09-26,Product,51
TKT-002207,Employee Relations,Closed,2025-04-01,2025-04-19,Customer Success,18
TKT-001212,Learning & Development,Closed,2025-12-12,2025-12-31,Customer Success,19
TKT-002696,Onboarding,Closed,2025-12-28,2025-12-31,HR,3
TKT-001773,Compensation,Closed,2025-10-16,2025-11-01,Engineering,16
TKT-002189,HR Technology,Closed,2025-09-28,2025-11-11,Engineering,44
TKT-002673,Policy & Benefits,Closed,2025-02-14,2025-03-03,Data,17
TKT-002574,HR Technology,Closed,2025-10-20,2025-12-23,Sales,64
TKT-002785,Learning & Development,Closed,2025-02-06,2025-02-13,Marketing,7
TKT-002585,Onboarding,Closed,2025-09-13,2025-09-19,Engineering,6
TKT-001865,Payroll,Closed,2025-09-16,2025-09-22,Engineering,6
TKT-002626,Compensation,Closed,2025-07-24,2025-08-07,Sales,14
TKT-002550,Payroll,Closed,2025-03-18,2025-04-21,Sales,34
TKT-002452,Employee Relations,Closed,2025-07-05,2025-08-28,Product,54
TKT-002618,Offboarding,Closed,2025-01-22,2025-01-30,HR,8
TKT-000897,Learning & Development,Closed,2025-03-21,2025-04-05,Product,15
TKT-002177,Payroll,Closed,2025-02-07,2025-03-15,Customer Success,36
