ticket_id,employee_id,position_id,category,status,open_date,close_date,assigned_to,resolution_notes
TKT-000001,EMP-00106,DATA-IC2,Onboarding,Closed,2025-08-28,2025-09-11,EMP-00396,Sit enter perhaps however bag forget purpose move west.
TKT-000002,EMP-00268,,Policy & Benefits,Closed,2025-10-12,2025-10-17,EMP-00392,Responsibility service their along attention piece TV young section its better.
TKT-000003,EMP-00240,,Payroll,In Progress,2025-07-24,,EMP-00398,
TKT-000004,EMP-00102,,Policy & Benefits,Closed,2025-10-26,2025-10-29,EMP-00393,Kitchen really tough animal someone.
TKT-000005,EMP-00256,,HR Technology,Closed,2025-10-30,2025-11-18,EMP-00398,Grow issue each include radio conference company.
TKT-000006,EMP-00418,ENG-MGR,Compensation,Closed,2025-02-19,2025-03-28,EMP-00399,That people drive tree central leave effect effort act source top.
TKT-000007,EMP-00200,,Policy & Benefits,Closed,2025-09-25,2025-10-05,EMP-00391,Citizen kid generation onto police interesting economic suddenly current his.
TKT-000008,EMP-00102,SALES-SR,Offboarding,Closed,2025-04-21,2025-05-03,EMP-00394,Blood high grow fast recognize against stop how account.
TKT-000009,EMP-00363,,HR Technology,Closed,2025-03-08,2025-04-23,EMP-00044,Treat seat strategy total simply.
TKT-000010,EMP-00372,,HR Technology,Closed,2025-05-05,2025-05-25,EMP-00391,Parent good PM per question return process.
TKT-000011,EMP-00328,,Payroll,Closed,2025-06-27,2025-07-12,EMP-00045,Pick tough position final kid often.
TKT-000012,EMP-00299,,Payroll,Closed,2025-09-23,2025-10-08,EMP-00045,Bed far section compare car much.
TKT-000013,EMP-00016,DEL-ROLE-041,Onboarding,Closed,2025-08-10,2025-08-16,EMP-00398,Most tree store either station loss southern second.
TKT-000014,EMP-00059,,Payroll,Closed,2025-06-23,2025-08-07,EMP-00392,Sound life away senior difficult put purpose however.
TKT-000015,EMP-00406,,Payroll,Closed,2025-09-21,2025-09-25,EMP-00392,Hand so add Mr lawyer pull public once state wait.
TKT-000016,EMP-00268,,Policy & Benefits,Closed,2024-12-31,2025-01-09,EMP-00045,Push likely people wall foreign.
TKT-000017,EMP-00231,ENG-MGR,Onboarding,Closed,2025-10-21,2025-11-03,EMP-00391,Determine as statement travel few impact cause watch fight manage best.
TKT-000018,EMP-00053,,Employee Relations,Closed,2025-03-03,2025-04-08,EMP-00397,Career law provide sea watch industry score choice increase between.
TKT-000019,EMP-00290,,HR Technology,Closed,2025-07-31,2025-09-04,EMP-00398,Past voice evidence real describe know door guy wonder.
TKT-000020,EMP-00293,DEL-ROLE-017,Offboarding,Closed,2025-03-08,2025-03-23,EMP-00393,Name within grow huge couple business summer lawyer.
TKT-000021,EMP-00418,HR-IC2,Learning & Development,In Progress,2025-08-18,,EMP-00394,
TKT-000022,EMP-00289,,HR Technology,Closed,2025-12-05,2025-12-31,EMP-00398,Politics others again skill during call.
TKT-000023,EMP-00035,,HR Technology,Closed,2025-10-17,2025-12-08,EMP-00395,Day stop never only spend do similar small other everyone.
TKT-000024,EMP-00054,,Payroll,Closed,2025-09-25,2025-10-02,EMP-00394,Would music sometimes body term capital.
TKT-000025,EMP-00320,SALES-IC2,Onboarding,Closed,2025-06-04,2025-07-04,EMP-00396,So draw food company appear score moment second.
TKT-000026,EMP-00383,,HR Technology,Closed,2025-01-04,2025-02-07,EMP-00393,Large gun order later develop past road training probably.
TKT-000027,EMP-00082,CS-MGR,Compensation,Closed,2025-04-06,2025-05-20,EMP-00045,Leader who article look husband rather make.
TKT-000028,EMP-00419,,Employee Relations,Closed,2025-07-03,2025-08-17,EMP-00391,Available ball part assume every plan nature foot yes.
TKT-000029,EMP-00313,PM-MGR,Compensation,Closed,2025-02-22,2025-03-19,EMP-00391,Far measure involve soldier boy pressure there necessary tend involve.
TKT-000030,EMP-00168,SALES-IC2,Onboarding,Closed,2025-08-06,2025-08-17,EMP-00045,Including still human role fine fine effort.
TKT-000031,EMP-00038,,Policy & Benefits,Closed,2025-08-13,2025-08-24,EMP-00399,Rather listen before be it season.
TKT-000032,EMP-00405,,Payroll,Closed,2025-10-18,2025-11-16,EMP-00393,Speech news only no form business government program.
TKT-000033,EMP-00160,,Policy & Benefits,Closed,2025-01-30,2025-02-04,EMP-00391,Test return why outside goal official defense prevent difference.
TKT-000034,EMP-00227,,HR Technology,Closed,2025-03-19,2025-05-13,EMP-00394,Glass news boy everything difficult.
TKT-000035,EMP-00057,PM-SR,Offboarding,Closed,2025-08-29,2025-09-13,EMP-00395,Suddenly window stand party poor ago upon stop environment.
TKT-000036,EMP-00229,,Policy & Benefits,Closed,2025-06-03,2025-06-17,EMP-00396,Event several TV go consider century.
TKT-000037,EMP-00363,,HR Technology,Open,2025-03-25,,EMP-00393,
TKT-000038,EMP-00385,DATA-IC2,Learning & Development,Closed,2025-05-01,2025-05-23,EMP-00396,Attorney scientist will begin most heavy law church.
TKT-000039,EMP-00406,,HR Technology,Closed,2025-11-16,2025-12-31,EMP-00392,Return since nothing be apply church pay.
TKT-000040,EMP-00266,,HR Technology,In Progress,2025-06-01,,EMP-00398,
TKT-000041,EMP-00353,DATA-IC2,Learning & Development,Closed,2025-04-22,2025-06-22,EMP-00391,Evening product magazine kind event.
TKT-000042,EMP-00157,DATA-SR,Offboarding,Closed,2025-03-16,2025-03-05,EMP-00045,Box involve exist question main project animal house out account.
TKT-000043,EMP-00361,SALES-SR,Offboarding,Closed,2025-04-07,2025-04-19,EMP-00395,War should share face build market issue.
